"iso3c","transport_road","gdppcap"
"WLD",706,17150.5670807906
"CAN",3419,47126.7761606515
"CHL",1198,24806.8672274161
"COL",535,15117.8629177923
"CRI",972,21611.0628721102
"MEX",816,18522.0021654377
"USA",3902,63027.6795267153
"AUS",3047,53066.4909886668
"ISR",1745,39619.1017566896
"JPN",1315,41612.2363942975
"KOR",1830,44694.7336959843
"NZL",2499,45375.9346212543
"AUT",2351,56999.9398541031
"BEL",1753,54202.5200672849
"DNK",1783,60979.8481659703
"EST",1648,38536.4580808802
"FIN",1777,52295.8407042436
"FRA",1497,47976.438338985
"DEU",1669,55854.3636624147
"GRC",1205,28402.867450271
"HUN",1234,34064.7440502605
"ISL",2205,54719.6167068399
"IRL",1904,93950.6949078218
"ITA",1300,43038.9701293531
"LVA",1548,32106.096649201
"LTU",2100,39916.7792081487
"LUX",7383,118973.056541483
"NLD",1438,60090.7016619163
"NOR",1534,64167.286306644
"POL",1572,35315.7172595773
"PRT",1344,34880.5206583501
"SVK",1228,32441.995225168
"SVN",2130,40782.6412438584
"ESP",1442,38122.5519730773
"SWE",1404,55569.2456624211
"CHE",1643,71991.2433763407
"GBR",1346,46759.0825582866
"ALB",501,14035.3547801451
"ARM",763,14089.2393754604
"AZE",622,14478.5244519377
"BLR",1000,20278.4739462373
"BIH",1108,15644.3416629318
"BGR",1271,25296.1761640127
"HRV",1364,29690.0341758221
"CYP",2014,41421.703125
"GEO",916,14731.2005947457
"KAZ",1100,26750.446226155
"XKX",727,11292.8626513626
"KGZ",206,4985.02955528531
"MLT",1017,44587.7102956798
"MDA",757,12870.0160240115
"MNE",1104,20510.7607680984
"MKD",944,17324.8148294367
"ROU",903,33336.0897684039
"RUS",1013,29936.9296875
"SRB",942,19557.5260362267
"TJK",177,3851.94291285677
"UKR",450,13087.3095703125
"UZB",419,7746.43096873538
"DZA",872,11438.6911555723
"AGO",170,6362.63607638387
"BEN",509,3360.98741640516
"BWA",895,14287.5105895124
"CMR",129,3866.25447217005
"COG",190,3570.01696519798
"CIV",149,5377.78552757916
"COD",22,1101.25040167561
"EGY",488,12004.1259270733
"GNQ",297,15961.1138626454
"SWZ",612,8744.43869333825
"ETH",64,2376.6356011465
"GAB",82,14664.7109343551
"GHA",275,5551.78680222592
"KEN",187,4744.73926814922
"LBY",2425,17851.0117249853
"MDG",40,1514.86168771791
"MUS",765,21331.8141194663
"MAR",449,7959.25634765625
"MOZ",101,1300.51077292959
"NAM",696,9543.71273387521
"NER",46,1281.06192868054
"NGA",243,5131.52623792346
"RWA",45,2180.87734934339
"SEN",160,3569.20913872327
"ZAF",697,13517.7805856267
"SDN",233,4087.00610351563
"TZA",110,2690.92456054688
"TGO",131,2180.16961040197
"TUN",571,10571.9008385961
"UGA",69,2363.19203234959
"ZMB",135,3358.00532219863
"ZWE",131,2099.32045907446
"BGD",47,5897.58894780473
"BRN",2753,64977.3063057703
"KHM",334,4510.37235655168
"IND",183,6448.87019636168
"IDN",415,12146.4067908851
"LAO",335,8189.14621030973
"MYS",1822,27245.6204199968
"MNG",605,12305.7179068032
"MMR",80,5218.02453689085
"NPL",181,3967.82017915997
"PAK",199,5278.41860157866
"PHL",233,8198.9675013519
"SGP",1033,99681.2941505156
"LKA",391,13812.9574751065
"THA",1007,17771.3071709385
"VNM",323,11022.9570002851
"CHN",515,17189.2817942534
"HKG",1045,58949.4659538846
"ARG",758,20763.2885528852
"BOL",735,8100.52934584379
"BRA",789,14789.8785635061
"CUW",6638,20681.2446726143
"DOM",509,17686.759042937
"ECU",848,10924.180121551
"SLV",492,8720.01199739566
"GTM",507,8849.71774303031
"GUY",1102,19439.9309798917
"HTI",124,3121.14575720839
"HND",189,5303.51449924795
"JAM",551,9701.89053303231
"NIC",299,5465.5074394317
"PAN",849,26907.3589156956
"PRY",965,14046.6522172277
"PER",589,11789.0292775148
"SUR",704,16168.6908170131
"TTO",1549,24672.3557027999
"URY",999,23024.0989100538
"BHR",1887,50468.2538003506
"IRN",1500,15222.7597362954
"IRQ",714,9408.29552709836
"JOR",696,9707.40418160313
"KWT",3044,46328.0794647542
"LBN",925,14535.6809169716
"OMN",1963,34910.8532670212
"QAT",4099,93894.2527454893
"SAU",3472,45240.6760912869
"ARE",3006,71374.1810463077
